Sample,Time (s),AI0 - Center- F5 (°C),AI2 - F4 (°C),AI3 - E5 (°C),AI5 - F6 (°C),AI6 - G5 (°C)
0,00:00.0,21.992,22.749,22.272,22.026,22.587
1,00:00.9,22.051,22.965,22.385,22.195,22.591
2,00:01.8,21.913,22.861,22.308,22.027,22.067
3,00:02.7,21.81,22.62,22.138,21.776,22.285
4,00:03.6,21.904,22.549,22.068,21.789,22.253
5,00:04.5,22.037,22.783,22.233,22.254,22.686
6,00:05.4,22.24,23.162,22.471,22.405,22.679
7,00:06.3,22.313,23.136,22.476,22.481,22.491
8,00:07.2,22.171,22.921,22.258,22.119,21.991
9,00:08.2,21.749,22.583,21.995,21.762,21.788
10,00:09.1,21.319,22.164,21.694,21.501,21.672
11,00:10.0,21.478,22.053,21.648,21.443,21.996
12,00:10.9,21.483,22.018,21.477,21.405,21.767
13,00:11.8,21.803,21.961,21.382,21.326,22.075
14,00:12.7,21.58,22.337,21.327,22.564,23.542
15,00:13.6,22.887,22.81,22.021,22.981,21.802
16,00:14.5,22.551,22.495,21.438,22.652,21.58
17,00:15.4,22.407,22.364,21.34,22.059,21.599
18,00:16.3,22.137,22.095,21.496,21.535,21.628
19,00:17.2,21.729,21.976,21.481,21.388,21.612
20,00:18.1,21.701,21.986,21.586,21.413,21.743
21,00:19.0,21.584,22.07,21.672,21.547,22.415
22,00:19.9,21.399,21.792,21.533,21.199,21.785
23,00:20.8,21.492,21.804,21.357,21.183,21.544
24,00:21.7,21.317,21.647,21.252,21.038,21.228
25,00:22.6,21.5,21.571,21.203,21.047,21.047
26,00:23.6,21.527,21.579,21.286,21.023,21.126
27,00:24.5,21.539,21.591,21.262,21.02,21.236
28,00:25.4,21.545,21.714,21.348,21.053,21.41
29,00:26.3,21.357,21.999,21.755,22.122,22.746
30,00:27.2,21.206,21.72,21.775,20.983,21.776
31,00:28.1,21.186,21.873,21.689,21.248,21.458
32,00:29.0,21.501,21.759,21.787,21.254,21.028
33,00:29.9,23.353,21.718,21.299,21.471,22.248
34,00:30.8,21.906,22.508,22.405,21.541,22.319
35,00:31.7,22.053,22.844,22.444,21.654,22.457
36,00:32.6,22.202,22.945,22.584,21.788,22.559
37,00:33.5,22.677,23.505,23.262,22.103,22.339
38,00:34.4,23.108,23.093,23.124,21.85,22.315
39,00:35.3,22.662,22.913,22.97,21.644,22.037
40,00:36.2,22.635,23.006,22.989,22.032,22.368
41,00:37.1,23.157,23.336,23.537,22.67,23.148
42,00:38.0,23.596,24.067,24.359,23.309,23.742
43,00:38.9,24.368,24.6,24.974,23.971,24.153
44,00:39.9,24.938,24.911,25.723,24.521,24.098
45,00:40.8,25.166,25.284,26.072,25.011,24.289
46,00:41.7,25.176,25.307,26.162,24.644,23.374
47,00:42.6,24.115,24.705,25.88,24.533,23.49
48,00:43.5,24.381,25.207,26.566,25.716,24.162
49,00:44.4,25.283,25.915,27.097,26.243,24.733
50,00:45.3,25.371,26.144,27.248,26.729,24.386
51,00:46.2,24.85,26.197,26.998,27.21,23.663
52,00:47.1,24.84,26.287,27.103,27.757,25.085
53,00:48.0,25.002,26.643,27.892,28.363,25.994
54,00:48.9,25.743,26.973,28.277,28.306,25.453
55,00:49.8,25.495,26.179,26.426,27.875,20.522
56,00:50.7,120.473,20.802,24.039,28.653,21.827
57,00:51.6,142.394,25.872,28.528,28.063,27.775
58,00:52.5,155.722,25.806,32.095,32.743,33.732
59,00:53.4,161.402,25.944,46.693,56.749,47.053
60,00:54.3,167.276,39.217,61.546,64.223,49.555
61,00:55.3,167.601,46.124,71.501,67.675,50.618
62,00:56.2,168.672,60.774,84.676,69.541,30.733
63,00:57.1,175.871,60.198,89.052,71.962,36.77
64,00:58.0,173.713,48.731,88.673,71.715,34.583
65,00:58.9,171.78,72.175,85.373,70.171,34.465
66,00:59.8,177.613,73.193,82.089,69.127,35.065
67,01:00.7,174.085,56.793,72.725,56.767,30.92
68,01:01.6,167.096,46.436,48.18,33.941,27.88
69,01:02.5,82.609,31.008,39.415,50.138,24.579
70,01:03.4,85.691,22.124,38.299,45.98,23.552
71,01:04.3,98.166,31.443,41.643,65.143,24.101
72,01:05.2,97.842,44.455,47.622,75.417,26.739
73,01:06.1,97.836,35.577,45.267,71.417,24.928
74,01:07.0,97.239,30.105,42.762,70.745,24.023
75,01:07.9,99.058,33.918,45.259,74.644,25.918
76,01:08.8,98.781,37.671,50.122,73.507,27.142
77,01:09.7,77.013,41.438,54.584,72.663,31.186
78,01:10.7,55.258,35.09,58.883,74.391,30.959
79,01:11.6,48.108,42.196,57.016,65.373,29.858
80,01:12.5,42.627,41.418,54.864,60.559,29.313
81,01:13.4,39.948,40.633,52.018,57.961,28.603
82,01:14.3,42.27,39.59,49.111,51.71,28.484
83,01:15.2,38.484,39.137,46.428,48.25,28.282
84,01:16.1,35.681,39.283,43.919,46.891,28.338
85,01:17.0,34.36,39.224,41.645,44.067,26.541
86,01:17.9,37.538,44.667,46.935,42.823,25.965
87,01:18.8,34.512,42.797,48.608,40.407,23.402
88,01:19.7,33.191,38.564,45.531,36.89,23.334
89,01:20.6,32.562,37.464,44.193,36.765,22.651
90,01:21.5,31.838,37.073,42.728,37.689,23.047
91,01:22.4,31.311,37.583,42.221,38.243,23.226
92,01:23.3,30.747,36.341,40.817,36.975,23.258
93,01:24.2,29.739,36.028,39.766,36.166,23.031
94,01:25.1,29.64,35.9,38.92,35.396,24.184
95,01:26.1,29.463,35.097,37.876,34.555,24.232
96,01:27.0,28.419,34.098,37.244,33.51,23.586
97,01:27.9,27.455,30.718,33.417,30.713,22.352
98,01:28.8,25.637,27.71,30.108,28.678,21.892
99,01:29.7,25.05,27.456,29.127,28.863,22.063
100,01:30.6,25.17,27.717,28.32,28.875,22.086
101,01:31.5,24.541,26.698,27.554,28.412,21.894
102,01:32.4,24.402,26.851,27.396,28.298,22.165
103,01:33.3,24.404,27.706,27.465,28.108,22.796
104,01:34.2,22.772,25.182,27.532,28.178,22.868
105,01:35.1,22.766,24.811,27.656,28.339,23.047
106,01:36.0,22.742,24.765,27.38,28.58,22.929
107,01:36.9,22.533,23.572,26.588,27.148,22.446
108,01:37.8,22.507,24.141,26.867,27.689,22.751
109,01:38.7,22.623,24.083,26.439,27.033,22.466
110,01:39.6,22.265,23.632,26.141,26.485,22.144
111,01:40.5,22.145,22.603,25.597,25.101,21.87
112,01:41.4,21.989,22.299,25.274,24.808,21.65
113,01:42.4,21.807,22.08,24.762,24.27,21.299
114,01:43.3,21.973,22.222,24.619,24.286,21.664
115,01:44.2,21.874,22.373,24.47,23.935,21.44
116,01:45.1,21.507,21.782,23.958,22.99,20.91
117,01:46.0,21.323,22.198,22.13,23.416,23.164
118,01:46.9,22.967,23.597,24.97,23.046,22.625
119,01:47.8,23.562,23.527,23.057,22.999,23.146
120,01:48.7,23.554,23.686,24.158,23.017,22.351
121,01:49.6,23.646,23.745,22.194,23.457,22.15
122,01:50.5,23.265,23.303,23.85,22.707,23.312
123,01:51.4,23.085,23.451,23.053,22.713,23.565
124,01:52.3,22.485,23.616,23.623,22.756,23.733
125,01:53.2,22.764,24.515,24.026,23.116,23.936
126,01:54.1,23.514,24.782,24.24,23.187,24.019
127,01:55.0,23.784,25.167,24.23,23.33,24.192
128,01:55.9,23.882,24.932,23.743,23.597,23.613
129,01:56.8,23.471,24.511,24.021,23.138,23.787
130,01:57.8,23.574,24.783,23.579,23.419,23.95
131,01:58.7,23.497,24.707,23.681,23.141,23.647
132,01:59.6,23.082,24.439,23.564,23.148,23.223
133,02:00.5,23.442,24.374,23.733,22.919,23.348
134,02:01.4,23.443,24.355,23.861,22.783,23.255
135,02:02.3,23.516,23.99,23.656,22.365,23.128
136,02:03.2,22.952,23.657,23.352,22.481,23.21
137,02:04.1,22.512,23.219,22.743,22.589,23.029
138,02:05.0,22.313,22.958,22.489,22.292,22.374
139,02:05.9,22.287,22.973,22.631,22.328,22.778
140,02:06.8,22.27,22.932,22.564,22.281,22.696
